,readable,energies
0,"Stage 2; 166 | R-3mH | trigonal-rhombohedral (5) | centrosymmetric (2) | ditrigonal-scalenohedral | -3m; O6; Stage 1; rhombohedral; (552.1076852083206, 552.1076852083206, 552.1076852083206), (104.48585987091064, 104.48585987091064, 104.48585987091064)",1.0718189287217683e-06
1,"Stage 2; 15 | C12/c1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; C4; Stage 1; monoclinic; (398.01006972789764, 452.19178378582, 527.8526178598404), (90.0, 96.17891550064087, 90.0)",8.446727974842361e-07
2,"Stage 2; 14 | P12_1/c1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; C2; Stage 1; monoclinic; (532.1276576519012, 461.6751006245613, 653.8847074508667), (90.0, 96.0204553604126, 90.0)",2.496928175332869e-07
3,"Stage 2; 62 | Pnma | orthorhombic (3) | centrosymmetric (2) | rhombic-dipyramidal | mmm; B4; Stage 1; orthorhombic; (535.4255301952362, 404.30621641874313, 489.57379961013794), (90.0, 90.0, 90.0)",6.775750875931408e-07
4,"Stage 2; 12 | C12/m1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; N6; Stage 1; monoclinic; (424.73830354213715, 488.3787074685097, 441.75363647937775), (90.0, 93.72251987457275, 90.0)",1.526178493804764e-06
5,"Stage 2; 1 | P1 | triclinic (1) | enantiomorphic-polar (1) | pedial | 1; Ni5; Stage 1; triclinic; (394.72623574733734, 470.19430726766586, 462.94591772556305), (105.29946327209473, 102.08810806274414, 102.4330472946167)",6.277264219534118e-06
6,"Stage 2; 4 | P12_11 | monoclinic (2) | enantiomorphic-polar (1) | sphenoidal | 2; Pd6; Stage 1; monoclinic; (493.080138862133, 416.93033450841904, 475.6519770026207), (90.0, 105.3389310836792, 90.0)",1.1243881090194918e-05
7,"Stage 2; 63 | Cmcm | orthorhombic (3) | centrosymmetric (2) | rhombic-dipyramidal | mmm; Ni4; Stage 1; orthorhombic; (465.2122830748558, 446.7434235215187, 465.8067210316658), (90.0, 90.0, 90.0)",4.0271092984767165e-06
8,"Stage 2; 2 | P-1 | triclinic (1) | centrosymmetric (2) | pinacoidal | -1; K4; Stage 1; triclinic; (480.6605019569397, 462.4987062215805, 434.7408984899521), (109.6330213546753, 98.63111972808838, 98.51784706115723)",2.9536467991420068e-06
9,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; O4; Stage 1; cubic; (438.92822700738907, 438.92822700738907, 438.92822700738907), (90.0, 90.0, 90.0)",1.2567313660838408e-06
10,"Stage 2; 14 | P12_1/c1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; Ca6; Stage 1; monoclinic; (537.637971997261, 538.3520946502686, 494.4836679697037), (90.0, 96.9886326789856, 90.0)",2.8109097911510617e-06
11,"Stage 2; 63 | Cmcm | orthorhombic (3) | centrosymmetric (2) | rhombic-dipyramidal | mmm; Pd4; Stage 1; orthorhombic; (377.62643349170685, 499.4222975373268, 517.474074959755), (90.0, 90.0, 90.0)",7.243084837682545e-06
12,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Ca4; Stage 1; cubic; (517.593700170517, 517.593700170517, 517.593700170517), (90.0, 90.0, 90.0)",1.919810756589868e-06
13,"Stage 2; 216 | F-43m | cubic (8) | non-centrosymmetric (5) | hextetrahedral | -43m; Li4; Stage 1; cubic; (467.6389616727829, 467.6389616727829, 467.6389616727829), (90.0, 90.0, 90.0)",4.50826320275155e-07
14,"Stage 2; 15 | C12/c1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; Ba4; Stage 1; monoclinic; (531.884957075119, 444.86410015821457, 554.1906272172928), (90.0, 104.26480770111084, 90.0)",7.177482984843664e-06
