,readable,energies
0,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Mn5; Stage 1; cubic; (122.92377781867981, 122.92377781867981, 122.92377781867981), (90.0, 90.0, 90.0)",0.0002455810317769
1,"Stage 2; 4 | P12_11 | monoclinic (2) | enantiomorphic-polar (1) | sphenoidal | 2; Pt4; Stage 1; monoclinic; (172.92189607024193, 526.3184884786606, 843.4715121984482), (90.0, 108.1684160232544, 90.0)",1.7765703887562267e-05
2,"Stage 2; 12 | C12/m1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; H6; Stage 1; monoclinic; (640.955369591713, 307.19662964344025, 744.5905383825302), (90.0, 133.87853145599365, 90.0)",9.503031606072909e-08
3,"Stage 2; 14 | P12_1/c1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; B6; Stage 1; monoclinic; (698.7721791267395, 611.9178516864777, 998.0558375120163), (90.0, 99.18516397476196, 90.0)",2.5568047590240894e-07
4,"Stage 2; 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; O4; Stage 1; hexagonal; (33.15952139720321, 33.15952139720321, 770.5633071660995), (90.0, 90.0, 120.0)",0.000144832956721
5,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; C4; Stage 1; cubic; (200.10037514567375, 200.10037514567375, 200.10037514567375), (90.0, 90.0, 90.0)",9.957351721823215e-06
6,"Stage 2; 2 | P-1 | triclinic (1) | centrosymmetric (2) | pinacoidal | -1; Al6; Stage 1; triclinic; (991.7419344186783, 831.2102552652359, 377.6869599223137), (91.94941759109497, 62.13112369179726, 61.439323872327805)",1.1787633411586285e-06
7,"Stage 2; 8 | C1m1 | monoclinic (2) | polar (3) | domatic | m; Al2Ba2; Stage 1; monoclinic; (7.541159402579069, 652.9030193090439, 819.1408388614655), (90.0, 128.77115726470947, 90.0)",0.000173541076947
8,"Stage 2; 194 | P6_3/mmc | hexagonal (7) | centrosymmetric (2) | dihexagonal-dipyramidal | 6/mmm; Cu2Pd2; Stage 1; hexagonal; (971.434023141861, 971.434023141861, 795.9036862850189), (90.0, 90.0, 120.0)",8.678277936269296e-07
9,"Stage 2; 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; Ba2K3; Stage 1; hexagonal; (424.58640748262405, 424.58640748262405, 93.53231413662434), (90.0, 90.0, 120.0)",4.457222166820429e-05
10,"Stage 2; 2 | P-1 | triclinic (1) | centrosymmetric (2) | pinacoidal | -1; F2S3; Stage 1; triclinic; (710.6047245264053, 297.3943221569061, 472.59638863801956), (61.65039077401161, 137.00172901153564, 129.15401458740234)",4.220294158585602e-06
11,"Stage 2; 38 | Amm2 | orthorhombic (3) | polar (3) | rhombic-pyramidal | mm2; F2V4; Stage 1; orthorhombic; (146.17956420779228, 904.874936580658, 967.5636032819748), (90.0, 90.0, 90.0)",3.136852001262014e-06
12,"Stage 2; 4 | P12_11 | monoclinic (2) | enantiomorphic-polar (1) | sphenoidal | 2; Co2Pd4; Stage 1; monoclinic; (727.5755623579025, 170.493001639843, 767.5886784791946), (90.0, 107.37979412078857, 90.0)",9.932919056154788e-06
13,"Stage 2; 194 | P6_3/mmc | hexagonal (7) | centrosymmetric (2) | dihexagonal-dipyramidal | 6/mmm; C4Pt2; Stage 1; hexagonal; (566.4175610542297, 566.4175610542297, 714.9988541603088), (90.0, 90.0, 120.0)",3.662966491901898e-06
14,"Stage 2; 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; Al3F3; Stage 1; hexagonal; (203.0174070596695, 203.0174070596695, 168.33152398467064), (90.0, 90.0, 120.0)",3.812292925431393e-05
15,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Co3Mg3; Stage 1; cubic; (551.5431089401245, 551.5431089401245, 551.5431089401245), (90.0, 90.0, 90.0)",2.471523885105853e-06
16,"Stage 2; 8 | C1m1 | monoclinic (2) | polar (3) | domatic | m; N4Pd2; Stage 1; monoclinic; (38.88366171717644, 439.7614989876747, 186.18992912769318), (90.0, 60.49676690250635, 90.0)",0.0001611287152627
17,"Stage 2; 12 | C12/m1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; Ba2F4; Stage 1; monoclinic; (721.839500784874, 514.2400897741318, 176.10738575458527), (90.0, 92.53267765045166, 90.0)",8.916007573134266e-06
18,"Stage 2; 1 | P1 | triclinic (1) | enantiomorphic-polar (1) | pedial | 1; Fe3Mg2; Stage 1; triclinic; (402.64654302597046, 129.64601868391037, 369.57475262880325), (102.99156188964844, 70.91644287109375, 80.2539873123169)",2.0944646166753955e-05
19,"Stage 2; 4 | P12_11 | monoclinic (2) | enantiomorphic-polar (1) | sphenoidal | 2; Pt4; Stage 1; monoclinic; (983.5028149485588, 493.3584117293358, 218.04535018652678), (90.0, 130.5692481994629, 90.0)",1.612349478818942e-05
20,"Stage 2; 2 | P-1 | triclinic (1) | centrosymmetric (2) | pinacoidal | -1; Cu4Ni2; Stage 1; triclinic; (594.5785015821457, 990.8118796348572, 528.139932513237), (65.25236666202545, 75.21606802940369, 90.9899115562439)",2.281342858623248e-06
21,"Stage 2; 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; F2Pd4; Stage 1; hexagonal; (636.0495462417603, 636.0495462417603, 794.3328543901443), (90.0, 90.0, 120.0)",2.766684019661625e-06
22,"Stage 2; 123 | P4/mmm | tetragonal (4) | centrosymmetric (2) | ditetragonal-dipyramidal | 4/mmm; C3P2; Stage 1; tetragonal; (514.289462685585, 514.289462685585, 752.7786490917206), (90.0, 90.0, 90.0)",8.171700187631359e-07
23,"Stage 2; 14 | P12_1/c1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; K4Li2; Stage 1; monoclinic; (810.6467350721359, 28.801070012152195, 983.2168982028961), (90.0, 123.5062313079834, 90.0)",1.4772219401493205e-05
24,"Stage 2; 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; Ca3Ni2; Stage 1; hexagonal; (205.4792564213276, 205.4792564213276, 858.07679271698), (90.0, 90.0, 120.0)",1.2576243534567766e-05
25,"Stage 2; 123 | P4/mmm | tetragonal (4) | centrosymmetric (2) | ditetragonal-dipyramidal | 4/mmm; Cu3Si2; Stage 1; tetragonal; (955.1860523223877, 955.1860523223877, 787.5413427352905), (90.0, 90.0, 90.0)",5.703888064090279e-07
