,readable,energies
0,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
1,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9995036125183105, 3.9995036125183105, 3.9995036125183105), (90.0, 90.0, 90.0)",5.524515628814697
2,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9982357025146484, 3.9982357025146484, 3.9982357025146484), (90.0, 90.0, 90.0)",5.529772758483887
3,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9992531538009644, 3.9992531538009644, 3.9992531538009644), (90.0, 90.0, 90.0)",5.525553226470947
4,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.99520206451416, 3.99520206451416, 3.99520206451416), (90.0, 90.0, 90.0)",5.542379379272461
5,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
6,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999964237213135, 3.9999964237213135, 3.9999964237213135), (90.0, 90.0, 90.0)",5.522473812103272
7,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
8,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9993849992752075, 3.9993849992752075, 3.9993849992752075), (90.0, 90.0, 90.0)",5.525007724761963
9,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999918937683105, 3.9999918937683105, 3.9999918937683105), (90.0, 90.0, 90.0)",5.5224928855896
10,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
11,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
12,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
13,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.999931812286377, 3.999931812286377, 3.999931812286377), (90.0, 90.0, 90.0)",5.522741317749023
14,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
15,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.997097969055176, 3.997097969055176, 3.997097969055176), (90.0, 90.0, 90.0)",5.534496307373047
16,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.999912977218628, 3.999912977218628, 3.999912977218628), (90.0, 90.0, 90.0)",5.522819519042969
17,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
18,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9991375207901, 3.9991375207901, 3.9991375207901), (90.0, 90.0, 90.0)",5.526033401489258
19,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999799728393555, 3.9999799728393555, 3.9999799728393555), (90.0, 90.0, 90.0)",5.522542476654053
20,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9580230712890625, 3.9580230712890625, 3.9580230712890625), (90.0, 90.0, 90.0)",5.7000346183776855
21,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9998291730880737, 3.9998291730880737, 3.9998291730880737), (90.0, 90.0, 90.0)",5.523166179656982
22,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999245405197144, 3.9999245405197144, 3.9999245405197144), (90.0, 90.0, 90.0)",5.52277135848999
23,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
24,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9986958503723145, 3.9986958503723145, 3.9986958503723145), (90.0, 90.0, 90.0)",5.527864456176758
25,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
26,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999730587005615, 3.9999730587005615, 3.9999730587005615), (90.0, 90.0, 90.0)",5.522571086883545
27,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9986162185668945, 3.9986162185668945, 3.9986162185668945), (90.0, 90.0, 90.0)",5.528194427490234
28,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
29,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.996224880218506, 3.996224880218506, 3.996224880218506), (90.0, 90.0, 90.0)",5.538124561309815
30,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
31,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.999765157699585, 3.999765157699585, 3.999765157699585), (90.0, 90.0, 90.0)",5.52343225479126
32,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9972463846206665, 3.9972463846206665, 3.9972463846206665), (90.0, 90.0, 90.0)",5.533880710601807
33,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
34,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
35,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.999911665916443, 3.999911665916443, 3.999911665916443), (90.0, 90.0, 90.0)",5.522824764251709
36,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
37,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999613761901855, 3.9999613761901855, 3.9999613761901855), (90.0, 90.0, 90.0)",5.522619247436523
38,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
39,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9999998807907104, 3.9999998807907104, 3.9999998807907104), (90.0, 90.0, 90.0)",5.522459030151367
