,readable,energies
0,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.011564612388611, 3.011564612388611, 3.011564612388611), (90.0, 90.0, 90.0)",23.721071243286133
1,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.863400459289551, 3.863400459289551, 3.863400459289551), (90.0, 90.0, 90.0)",22.47148323059082
2,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.603226959705353, 2.603226959705353, 2.603226959705353), (90.0, 90.0, 90.0)",20.034406661987305
3,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.2108875513076782, 3.2108875513076782, 3.2108875513076782), (90.0, 90.0, 90.0)",19.572019577026367
4,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.584641933441162, 2.584641933441162, 2.584641933441162), (90.0, 90.0, 90.0)",20.46969223022461
5,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.441452234983444, 2.441452234983444, 2.441452234983444), (90.0, 90.0, 90.0)",24.286659240722656
6,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.2357362508773804, 3.2357362508773804, 3.2357362508773804), (90.0, 90.0, 90.0)",19.12456321716309
7,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.038453698158264, 3.038453698158264, 3.038453698158264), (90.0, 90.0, 90.0)",23.096866607666016
8,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.565890371799469, 2.565890371799469, 2.565890371799469), (90.0, 90.0, 90.0)",20.92176055908203
9,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.204311490058899, 3.204311490058899, 3.204311490058899), (90.0, 90.0, 90.0)",19.692768096923828
10,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.1123547554016113, 3.1123547554016113, 3.1123547554016113), (90.0, 90.0, 90.0)",21.4903564453125
11,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.5228165984153748, 2.5228165984153748, 2.5228165984153748), (90.0, 90.0, 90.0)",22.01179313659668
12,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.221189856529236, 3.221189856529236, 3.221189856529236), (90.0, 90.0, 90.0)",19.384822845458984
13,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.0762040615081787, 3.0762040615081787, 3.0762040615081787), (90.0, 90.0, 90.0)",22.256940841674805
14,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.6231148838996887, 2.6231148838996887, 2.6231148838996887), (90.0, 90.0, 90.0)",19.5821590423584
15,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.0968390703201294, 3.0968390703201294, 3.0968390703201294), (90.0, 90.0, 90.0)",21.814990997314453
16,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.1717891693115234, 3.1717891693115234, 3.1717891693115234), (90.0, 90.0, 90.0)",20.304765701293945
17,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.9009549617767334, 3.9009549617767334, 3.9009549617767334), (90.0, 90.0, 90.0)",21.828712463378903
