,readable,energies
0,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.936275005340576, 2.936275005340576, 2.936275005340576), (90.0, 90.0, 90.0)",51.185943603515625
1,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.9828633666038513, 2.9828633666038513, 2.9828633666038513), (90.0, 90.0, 90.0)",48.824832916259766
2,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.022627830505371, 3.022627830505371, 3.022627830505371), (90.0, 90.0, 90.0)",46.923118591308594
3,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.7031607031822205, 2.7031607031822205, 2.7031607031822205), (90.0, 90.0, 90.0)",17.893566131591797
4,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.3898989856243134, 2.3898989856243134, 2.3898989856243134), (90.0, 90.0, 90.0)",47.46486282348633
5,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.018957495689392, 3.018957495689392, 3.018957495689392), (90.0, 90.0, 90.0)",47.09446334838867
6,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (3.2450767755508423, 3.2450767755508423, 3.2450767755508423), (90.0, 90.0, 90.0)",20.68557548522949
7,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.815484046936035, 3.815484046936035, 3.815484046936035), (90.0, 90.0, 90.0)",23.328777313232425
8,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.9531235694885254, 2.9531235694885254, 2.9531235694885254), (90.0, 90.0, 90.0)",50.31483459472656
9,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.8735081553459167, 2.8735081553459167, 2.8735081553459167), (90.0, 90.0, 90.0)",27.306974411010746
10,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.3294561207294464, 2.3294561207294464, 2.3294561207294464), (90.0, 90.0, 90.0)",102.51261138916016
11,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.319148153066635, 2.319148153066635, 2.319148153066635), (90.0, 90.0, 90.0)",51.942813873291016
12,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.878785014152527, 2.878785014152527, 2.878785014152527), (90.0, 90.0, 90.0)",54.31416320800781
13,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.0309616327285767, 3.0309616327285767, 3.0309616327285767), (90.0, 90.0, 90.0)",46.53713607788086
14,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.9553664326667786, 2.9553664326667786, 2.9553664326667786), (90.0, 90.0, 90.0)",50.20037460327149
15,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.3649796545505524, 2.3649796545505524, 2.3649796545505524), (90.0, 90.0, 90.0)",48.98110961914063
16,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.0208687782287598, 3.0208687782287598, 3.0208687782287598), (90.0, 90.0, 90.0)",47.00513458251953
17,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (3.605788826942444, 3.605788826942444, 3.605788826942444), (90.0, 90.0, 90.0)",15.07792854309082
18,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.310316026210785, 2.310316026210785, 2.310316026210785), (90.0, 90.0, 90.0)",52.54079818725586
19,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.7097275257110596, 3.7097275257110596, 3.7097275257110596), (90.0, 90.0, 90.0)",6.922874450683594
20,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.417962461709976, 2.417962461709976, 2.417962461709976), (90.0, 90.0, 90.0)",45.831302642822266
21,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.0472466945648193, 3.0472466945648193, 3.0472466945648193), (90.0, 90.0, 90.0)",45.79499816894531
22,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.397547632455826, 2.397547632455826, 2.397547632455826), (90.0, 90.0, 90.0)",47.01203918457031
23,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.420684427022934, 2.420684427022934, 2.420684427022934), (90.0, 90.0, 90.0)",45.6768798828125
24,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (3.426836848258972, 3.426836848258972, 3.426836848258972), (90.0, 90.0, 90.0)",17.565567016601562
25,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.007929563522339, 3.007929563522339, 3.007929563522339), (90.0, 90.0, 90.0)",47.614356994628906
26,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (3.09955894947052, 3.09955894947052, 3.09955894947052), (90.0, 90.0, 90.0)",23.73793029785156
27,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (3.1834566593170166, 3.1834566593170166, 3.1834566593170166), (90.0, 90.0, 90.0)",21.910165786743164
28,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.822479546070099, 2.822479546070099, 2.822479546070099), (90.0, 90.0, 90.0)",15.718825340270996
29,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.5910719633102417, 2.5910719633102417, 2.5910719633102417), (90.0, 90.0, 90.0)",37.24538040161133
30,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.019776701927185, 3.019776701927185, 3.019776701927185), (90.0, 90.0, 90.0)",47.05614471435547
31,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.0291918516159058, 3.0291918516159058, 3.0291918516159058), (90.0, 90.0, 90.0)",12.715459823608398
32,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.0952706336975098, 3.0952706336975098, 3.0952706336975098), (90.0, 90.0, 90.0)",43.69633865356445
33,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.9829076528549194, 2.9829076528549194, 2.9829076528549194), (90.0, 90.0, 90.0)",48.82265853881836
34,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.616687059402466, 3.616687059402466, 3.616687059402466), (90.0, 90.0, 90.0)",7.471016883850098
35,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.4377847015857697, 2.4377847015857697, 2.4377847015857697), (90.0, 90.0, 90.0)",44.72237396240234
36,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.959393620491028, 2.959393620491028, 2.959393620491028), (90.0, 90.0, 90.0)",49.99570846557617
37,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.909730613231659, 2.909730613231659, 2.909730613231659), (90.0, 90.0, 90.0)",28.693538665771484
38,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.302247315645218, 2.302247315645218, 2.302247315645218), (90.0, 90.0, 90.0)",53.09516525268555
39,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.0251373052597046, 3.0251373052597046, 3.0251373052597046), (90.0, 90.0, 90.0)",46.806434631347656
40,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.0128592252731323, 3.0128592252731323, 3.0128592252731323), (90.0, 90.0, 90.0)",47.38101196289063
41,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.5932828783988953, 2.5932828783988953, 2.5932828783988953), (90.0, 90.0, 90.0)",20.265756607055664
42,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.812571883201599, 3.812571883201599, 3.812571883201599), (90.0, 90.0, 90.0)",11.691136360168455
43,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.554726481437683, 3.554726481437683, 3.554726481437683), (90.0, 90.0, 90.0)",14.42421817779541
44,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.947611093521118, 2.947611093521118, 2.947611093521118), (90.0, 90.0, 90.0)",50.597652435302734
45,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.52290141582489, 3.52290141582489, 3.52290141582489), (90.0, 90.0, 90.0)",14.81867504119873
46,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.9613137245178223, 2.9613137245178223, 2.9613137245178223), (90.0, 90.0, 90.0)",49.89851760864258
47,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.5251858830451965, 2.5251858830451965, 2.5251858830451965), (90.0, 90.0, 90.0)",43.89978790283203
48,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.0606741309165955, 2.0606741309165955, 2.0606741309165955), (90.0, 90.0, 90.0)",148.0856170654297
49,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.297307074069977, 2.297307074069977, 2.297307074069977), (90.0, 90.0, 90.0)",53.43844223022461
50,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.0359984636306763, 3.0359984636306763, 3.0359984636306763), (90.0, 90.0, 90.0)",46.3058967590332
51,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.963197410106659, 2.963197410106659, 2.963197410106659), (90.0, 90.0, 90.0)",49.80341339111328
