,readable,energies
0,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.488017439842224, 3.488017439842224, 3.488017439842224), (90.0, 90.0, 90.0)",8.328686714172363
1,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.141897529363632, 2.141897529363632, 2.141897529363632), (90.0, 90.0, 90.0)",71.93602752685547
2,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.1275665313005447, 2.1275665313005447, 2.1275665313005447), (90.0, 90.0, 90.0)",73.39949035644531
3,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.358147472143173, 2.358147472143173, 2.358147472143173), (90.0, 90.0, 90.0)",49.40808868408203
4,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.1020456850528717, 2.1020456850528717, 2.1020456850528717), (90.0, 90.0, 90.0)",139.51290893554688
5,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.568529963493347, 2.568529963493347, 2.568529963493347), (90.0, 90.0, 90.0)",76.4692611694336
6,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (3.440139889717102, 3.440139889717102, 3.440139889717102), (90.0, 90.0, 90.0)",17.362579345703125
7,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.358089327812195, 3.358089327812195, 3.358089327812195), (90.0, 90.0, 90.0)",34.218746185302734
8,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.422688066959381, 2.422688066959381, 2.422688066959381), (90.0, 90.0, 90.0)",91.12728118896484
9,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.067132353782654, 3.067132353782654, 3.067132353782654), (90.0, 90.0, 90.0)",44.9100227355957
10,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (3.381819725036621, 3.381819725036621, 3.381819725036621), (90.0, 90.0, 90.0)",18.27642059326172
11,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.161384105682373, 3.161384105682373, 3.161384105682373), (90.0, 90.0, 90.0)",41.01182556152344
12,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.3651402294635773, 2.3651402294635773, 2.3651402294635773), (90.0, 90.0, 90.0)",97.94227600097656
13,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.1282018423080444, 3.1282018423080444, 3.1282018423080444), (90.0, 90.0, 90.0)",11.545909881591797
14,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.326497495174408, 2.326497495174408, 2.326497495174408), (90.0, 90.0, 90.0)",56.13512802124024
15,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.7322088479995728, 3.7322088479995728, 3.7322088479995728), (90.0, 90.0, 90.0)",24.925457000732425
16,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.478323847055435, 2.478323847055435, 2.478323847055435), (90.0, 90.0, 90.0)",85.12687683105469
17,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.0792896077036858, 2.0792896077036858, 2.0792896077036858), (90.0, 90.0, 90.0)",78.63167572021484
18,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.4115557074546814, 2.4115557074546814, 2.4115557074546814), (90.0, 90.0, 90.0)",50.40232467651367
19,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.006003451999277, 2.006003451999277, 2.006003451999277), (90.0, 90.0, 90.0)",87.56841278076172
20,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.541722536087036, 3.541722536087036, 3.541722536087036), (90.0, 90.0, 90.0)",29.167369842529297
21,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.5793898701667786, 2.5793898701667786, 2.5793898701667786), (90.0, 90.0, 90.0)",20.594989776611328
22,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.330078899860382, 2.330078899860382, 2.330078899860382), (90.0, 90.0, 90.0)",55.876686096191406
23,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.0859901383519173, 2.0859901383519173, 2.0859901383519173), (90.0, 90.0, 90.0)",71.37960052490234
