,readable,energies
0,"Stage 2; 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; B3; Stage 1; hexagonal; (925.0919541120529, 925.0919541120529, 665.280570268631), (90.0, 90.0, 120.0)",1.0922976656502217e-07
1,"Stage 2; 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; Ca3; Stage 1; hexagonal; (300.765094101429, 300.765094101429, 174.07079777121544), (90.0, 90.0, 120.0)",1.4641147572547196e-05
2,"Stage 2; 11 | P12_1/m1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; Na6; Stage 1; monoclinic; (536.6453385353088, 890.5355559587479, 143.8269301056862), (90.0, 131.46762371063232, 90.0)",4.447265837370651e-06
3,"Stage 2; 38 | Amm2 | orthorhombic (3) | polar (3) | rhombic-pyramidal | mm2; Si4; Stage 1; orthorhombic; (768.5130226612091, 366.636261343956, 13.356315227225423), (90.0, 90.0, 90.0)",4.957104829372838e-05
4,"Stage 2; 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; Al4; Stage 1; hexagonal; (54.62521443516016, 54.62521443516016, 827.262861251831), (90.0, 90.0, 120.0)",8.383502427022904e-05
5,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Li4; Stage 1; cubic; (436.9829268604517, 436.9829268604517, 436.9829268604517), (90.0, 90.0, 90.0)",5.525197934730386e-07
6,"Stage 2; 12 | C12/m1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; B2P2; Stage 1; monoclinic; (291.20185858011246, 264.94629603624344, 340.6849965453148), (90.0, 118.76066207885742, 90.0)",6.0225752349651884e-06
7,"Stage 2; 194 | P6_3/mmc | hexagonal (7) | centrosymmetric (2) | dihexagonal-dipyramidal | 6/mmm; Cu2K4; Stage 1; hexagonal; (264.66820162534714, 264.66820162534714, 228.88980904221535), (90.0, 90.0, 120.0)",3.3902284485520795e-05
8,"Stage 2; 12 | C12/m1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; F2Ni2; Stage 1; monoclinic; (716.8514090776443, 526.7035377025604, 285.40553826093674), (90.0, 132.03834533691406, 90.0)",3.224000465706922e-06
9,"Stage 2; 14 | P12_1/c1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; F4P2; Stage 1; monoclinic; (208.7425530552864, 194.1815148293972, 516.0758103132248), (90.0, 115.3804063796997, 90.0)",1.2119960047130007e-05
10,"Stage 2; 2 | P-1 | triclinic (1) | centrosymmetric (2) | pinacoidal | -1; C3Na2; Stage 1; triclinic; (83.8123716711998, 367.24625474214554, 378.79106909036636), (69.38770592212677, 101.19714260101318, 111.81647777557373)",1.3478238543029876e-05
11,"Stage 2; 123 | P4/mmm | tetragonal (4) | centrosymmetric (2) | ditetragonal-dipyramidal | 4/mmm; H3K3; Stage 1; tetragonal; (384.94085186719894, 384.94085186719894, 771.0109350681305), (90.0, 90.0, 90.0)",1.7488150660938118e-06
12,"Stage 2; 123 | P4/mmm | tetragonal (4) | centrosymmetric (2) | ditetragonal-dipyramidal | 4/mmm; Ca2Ni4; Stage 1; tetragonal; (47.57724619656801, 47.57724619656801, 854.4409239292145), (90.0, 90.0, 90.0)",0.0002703909121919
13,"Stage 2; 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; Fe4Ni2; Stage 1; hexagonal; (341.7445213794708, 341.7445213794708, 258.90406292676926), (90.0, 90.0, 120.0)",2.1609464965877123e-05
14,"Stage 2; 123 | P4/mmm | tetragonal (4) | centrosymmetric (2) | ditetragonal-dipyramidal | 4/mmm; Cu5; Stage 1; tetragonal; (252.78942117094994, 252.78942117094994, 695.6571945548058), (90.0, 90.0, 90.0)",1.186873487313278e-05
15,"Stage 2; 1 | P1 | triclinic (1) | enantiomorphic-polar (1) | pedial | 1; Fe5; Stage 1; triclinic; (727.0012899637222, 44.64170315861702, 854.3177890777588), (119.80067729949951, 106.70783519744873, 81.03348970413208)",2.0123545255046334e-05
16,"Stage 2; 194 | P6_3/mmc | hexagonal (7) | centrosymmetric (2) | dihexagonal-dipyramidal | 6/mmm; Ni2Pd2; Stage 1; hexagonal; (9.854090694338083, 9.854090694338083, 907.3908135890961), (90.0, 90.0, 120.0)",0.0071864342316985
17,"Stage 2; 194 | P6_3/mmc | hexagonal (7) | centrosymmetric (2) | dihexagonal-dipyramidal | 6/mmm; C2Na2; Stage 1; hexagonal; (994.4299027919769, 994.4299027919769, 460.28813821077347), (90.0, 90.0, 120.0)",2.948861208551534e-07
18,"Stage 2; 139 | I4/mmm | tetragonal (4) | centrosymmetric (2) | ditetragonal-dipyramidal | 4/mmm; B2K2; Stage 1; tetragonal; (207.13091415166855, 207.13091415166855, 172.88453921675682), (90.0, 90.0, 90.0)",2.2347283447743397e-05
19,"Stage 2; 71 | Immm | orthorhombic (3) | centrosymmetric (2) | rhombic-dipyramidal | mmm; H4P2; Stage 1; orthorhombic; (417.15965086221695, 299.7194591164589, 252.43603307008743), (90.0, 90.0, 90.0)",3.471349373285193e-06
20,"Stage 2; 71 | Immm | orthorhombic (3) | centrosymmetric (2) | rhombic-dipyramidal | mmm; Ni2V2; Stage 1; orthorhombic; (729.8487387895584, 856.4548033475876, 4.395271449815482), (90.0, 90.0, 90.0)",0.0001325302728218
21,"Stage 2; 2 | P-1 | triclinic (1) | centrosymmetric (2) | pinacoidal | -1; Li2O2; Stage 1; triclinic; (908.510745882988, 651.4171921014786, 305.24547761678696), (89.51761960983276, 114.36030864715576, 98.58437538146973)",4.69027071403616e-07
22,"Stage 2; 71 | Immm | orthorhombic (3) | centrosymmetric (2) | rhombic-dipyramidal | mmm; Li4Mn2; Stage 1; orthorhombic; (953.134637594223, 841.2762616872787, 228.95777115225792), (90.0, 90.0, 90.0)",1.2449615951481974e-06
23,"Stage 2; 123 | P4/mmm | tetragonal (4) | centrosymmetric (2) | ditetragonal-dipyramidal | 4/mmm; Ca3Na2; Stage 1; tetragonal; (682.8118203878403, 682.8118203878403, 793.4293301105499), (90.0, 90.0, 90.0)",7.461313771273126e-07
24,"Stage 2; 12 | C12/m1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; C2Fe2; Stage 1; monoclinic; (409.9061158299446, 330.98785930871964, 176.31884160637856), (90.0, 63.05401086807251, 90.0)",1.0567958270257805e-05
25,"Stage 2; 12 | C12/m1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; F2Li4; Stage 1; monoclinic; (357.67460203170776, 432.256370306015, 69.00177717208862), (90.0, 69.75862145423889, 90.0)",1.0909907359746285e-05
26,"Stage 2; 4 | P12_11 | monoclinic (2) | enantiomorphic-polar (1) | sphenoidal | 2; O2Si4; Stage 1; monoclinic; (923.1018688678741, 169.07692110538483, 712.1281465291977), (90.0, 123.13970565795898, 90.0)",2.575457529019332e-06
27,"Stage 2; 194 | P6_3/mmc | hexagonal (7) | centrosymmetric (2) | dihexagonal-dipyramidal | 6/mmm; K4Pd2; Stage 1; hexagonal; (413.3963047862053, 413.3963047862053, 9.529280233196914), (90.0, 90.0, 120.0)",0.0004347465583123
