,readable,energies
0,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.095516674220562, 2.095516674220562, 2.095516674220562), (90.0, 90.0, 90.0)",76.81908416748047
1,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.3027136623859406, 2.3027136623859406, 2.3027136623859406), (90.0, 90.0, 90.0)",106.1258316040039
2,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.2930265963077545, 2.2930265963077545, 2.2930265963077545), (90.0, 90.0, 90.0)",29.314682006835938
3,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.017288276925683, 2.017288276925683, 2.017288276925683), (90.0, 90.0, 90.0)",86.1070327758789
4,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.799724757671356, 2.799724757671356, 2.799724757671356), (90.0, 90.0, 90.0)",59.04659271240234
5,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.0322720520198345, 2.0322720520198345, 2.0322720520198345), (90.0, 90.0, 90.0)",154.3815155029297
6,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.3394700288772583, 2.3394700288772583, 2.3394700288772583), (90.0, 90.0, 90.0)",55.206485748291016
7,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.0873708724975586, 3.0873708724975586, 3.0873708724975586), (90.0, 90.0, 90.0)",44.03261566162109
8,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.6700016856193542, 2.6700016856193542, 2.6700016856193542), (90.0, 90.0, 90.0)",68.07791900634766
9,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.551142156124115, 2.551142156124115, 2.551142156124115), (90.0, 90.0, 90.0)",78.04353332519531
10,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.459452360868454, 2.459452360868454, 2.459452360868454), (90.0, 90.0, 90.0)",47.51461791992188
11,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.2896780967712402, 3.2896780967712402, 3.2896780967712402), (90.0, 90.0, 90.0)",36.39826583862305
12,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.0010676158126444, 2.0010676158126444, 2.0010676158126444), (90.0, 90.0, 90.0)",44.1089973449707
13,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.5951385498046875, 2.5951385498046875, 2.5951385498046875), (90.0, 90.0, 90.0)",74.1411361694336
14,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.2739738821983337, 2.2739738821983337, 2.2739738821983337), (90.0, 90.0, 90.0)",110.20071411132812
15,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.8804264068603516, 3.8804264068603516, 3.8804264068603516), (90.0, 90.0, 90.0)",22.176986694335938
16,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.1101474836468697, 2.1101474836468697, 2.1101474836468697), (90.0, 90.0, 90.0)",68.9560546875
17,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.254761219024658, 2.254761219024658, 2.254761219024658), (90.0, 90.0, 90.0)",56.52092361450195
18,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.2316514253616333, 3.2316514253616333, 3.2316514253616333), (90.0, 90.0, 90.0)",38.39435958862305
19,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.6378053426742554, 2.6378053426742554, 2.6378053426742554), (90.0, 90.0, 90.0)",70.60128784179688
20,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.4529817700386047, 2.4529817700386047, 2.4529817700386047), (90.0, 90.0, 90.0)",87.79261016845703
21,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.90642386674881, 2.90642386674881, 2.90642386674881), (90.0, 90.0, 90.0)",26.38967704772949
22,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.526185393333435, 3.526185393333435, 3.526185393333435), (90.0, 90.0, 90.0)",29.55462455749512
23,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.1055504009127617, 2.1055504009127617, 2.1055504009127617), (90.0, 90.0, 90.0)",37.86305618286133
24,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.866089403629303, 2.866089403629303, 2.866089403629303), (90.0, 90.0, 90.0)",30.024328231811523
25,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.2390584349632263, 2.2390584349632263, 2.2390584349632263), (90.0, 90.0, 90.0)",31.48590469360352
26,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.0116089899092913, 2.0116089899092913, 2.0116089899092913), (90.0, 90.0, 90.0)",86.83837890625
27,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.052832506597042, 2.052832506597042, 2.052832506597042), (90.0, 90.0, 90.0)",74.89456176757812
