,readable,energies
0,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.6810861229896545, 2.6810861229896545, 2.6810861229896545), (90.0, 90.0, 90.0)",33.61852264404297
1,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.700853168964386, 2.700853168964386, 2.700853168964386), (90.0, 90.0, 90.0)",65.77153778076172
2,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.8793505430221558, 2.8793505430221558, 2.8793505430221558), (90.0, 90.0, 90.0)",27.14108657836914
3,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.3405129313468933, 2.3405129313468933, 2.3405129313468933), (90.0, 90.0, 90.0)",50.53330993652344
4,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.0526047945022583, 3.0526047945022583, 3.0526047945022583), (90.0, 90.0, 90.0)",45.55427932739258
5,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.5455387830734253, 2.5455387830734253, 2.5455387830734253), (90.0, 90.0, 90.0)",78.5600357055664
6,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.452204316854477, 2.452204316854477, 2.452204316854477), (90.0, 90.0, 90.0)",23.968595504760746
7,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.1326541900634766, 2.1326541900634766, 2.1326541900634766), (90.0, 90.0, 90.0)",36.437721252441406
8,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.021138906478882, 3.021138906478882, 3.021138906478882), (90.0, 90.0, 90.0)",46.99252700805664
9,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.179071083664894, 2.179071083664894, 2.179071083664894), (90.0, 90.0, 90.0)",62.61763381958008
10,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.491260379552841, 2.491260379552841, 2.491260379552841), (90.0, 90.0, 90.0)",22.858890533447266
11,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.6505249738693237, 2.6505249738693237, 2.6505249738693237), (90.0, 90.0, 90.0)",37.9617919921875
12,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.279048502445221, 2.279048502445221, 2.279048502445221), (90.0, 90.0, 90.0)",59.71477890014648
13,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.6537460684776306, 2.6537460684776306, 2.6537460684776306), (90.0, 90.0, 90.0)",34.66831970214844
14,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.4372220039367676, 2.4372220039367676, 2.4372220039367676), (90.0, 90.0, 90.0)",44.75335693359375
15,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.671750485897064, 2.671750485897064, 2.671750485897064), (90.0, 90.0, 90.0)",67.94432830810547
16,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.073363520205021, 2.073363520205021, 2.073363520205021), (90.0, 90.0, 90.0)",39.6539192199707
17,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.9868701100349426, 2.9868701100349426, 2.9868701100349426), (90.0, 90.0, 90.0)",48.62861633300781
18,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (3.863996148109436, 3.863996148109436, 3.863996148109436), (90.0, 90.0, 90.0)",12.252718925476074
19,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.915903687477112, 2.915903687477112, 2.915903687477112), (90.0, 90.0, 90.0)",14.25584602355957
