,readable,energies
0,"Stage 2; 1 | P1 | triclinic (1) | enantiomorphic-polar (1) | pedial | 1; Ca12F8Mg14Mn5Na7; Stage 1; triclinic; (81.85004829764367, 2.289665769878775, 72.18012273907662), (87.91772127151489, 90.97056686878204, 60.23164093494415)",0.199528157711029
1,"Stage 2; 2 | P-1 | triclinic (1) | centrosymmetric (2) | pinacoidal | -1; C6Ca10F6N7V8; Stage 1; triclinic; (40.29798930287361, 75.07485453486443, 79.63014118671417), (109.28801894187927, 134.02704000473022, 52.3675873875618)",0.0134080545976758
2,"Stage 2; 123 | P4/mmm | tetragonal (4) | centrosymmetric (2) | ditetragonal-dipyramidal | 4/mmm; C5B1Li11S9V8; Stage 1; tetragonal; (10.632521609961985, 10.632521609961985, 36.21482593715191), (90.0, 90.0, 90.0)",0.3420575559139251
3,"Stage 2; 2 | P-1 | triclinic (1) | centrosymmetric (2) | pinacoidal | -1; H11Ca16F1Na6V10; Stage 1; triclinic; (35.59934707581996, 78.87308765649796, 26.452349364757534), (129.53327894210815, 115.76917767524719, 125.36312341690063)",
4,"Stage 2; 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; F11Fe15Mn15S14V15; Stage 1; hexagonal; (12.538357178866862, 12.538357178866862, 71.80074539184571), (90.0, 90.0, 120.0)",0.5238405466079712
5,"Stage 2; 123 | P4/mmm | tetragonal (4) | centrosymmetric (2) | ditetragonal-dipyramidal | 4/mmm; B7Ca11Co14P3V15; Stage 1; tetragonal; (5.477126750722528, 5.477126750722528, 10.90725963562727), (90.0, 90.0, 90.0)",11.158166885375977
6,"Stage 2; 2 | P-1 | triclinic (1) | centrosymmetric (2) | pinacoidal | -1; H11Ca5Cu1Li15Mg11; Stage 1; triclinic; (56.541638797521586, 81.24095470905304, 56.767533326148985), (88.36525976657867, 102.49013900756836, 86.66552305221558)",0.0042277015745639
7,"Stage 2; 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; Ba11Li14Mg13Mn14S13; Stage 1; hexagonal; (3.9764811491593717, 3.9764811491593717, 0.9394260642351583), (90.0, 90.0, 120.0)",401.4103698730469
8,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; H14Al4Na14Pd3Pt16; Stage 1; cubic; (2.7107700955122707, 2.7107700955122707, 2.7107700955122707), (90.0, 90.0, 90.0)",323.8292541503906
9,"Stage 2; 2 | P-1 | triclinic (1) | centrosymmetric (2) | pinacoidal | -1; Al12Co12F6Mn1N3; Stage 1; triclinic; (84.50534122586251, 54.5315478503704, 86.65189153552055), (58.981841057538986, 93.91326904296875, 66.12678468227386)",0.0070443316362798
