,readable,energies
0,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.701451063156128, 3.701451063156128, 3.701451063156128), (90.0, 90.0, 90.0)",3.591788053512573
1,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.8062968254089355, 3.8062968254089355, 3.8062968254089355), (90.0, 90.0, 90.0)",2.321794271469116
2,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.560895085334778, 3.560895085334778, 3.560895085334778), (90.0, 90.0, 90.0)",2.824828624725342
3,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.1516919434070587, 2.1516919434070587, 2.1516919434070587), (90.0, 90.0, 90.0)",3.169400930404663
4,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.2342933863401413, 2.2342933863401413, 2.2342933863401413), (90.0, 90.0, 90.0)",3.2946200370788574
5,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.8569352626800537, 3.8569352626800537, 3.8569352626800537), (90.0, 90.0, 90.0)",1.6314990520477295
6,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.6664507389068604, 3.6664507389068604, 3.6664507389068604), (90.0, 90.0, 90.0)",1.937594175338745
7,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.7153795957565308, 3.7153795957565308, 3.7153795957565308), (90.0, 90.0, 90.0)",2.634685039520264
8,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.601241111755371, 3.601241111755371, 3.601241111755371), (90.0, 90.0, 90.0)",3.364398956298828
9,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (3.7471765279769897, 3.7471765279769897, 3.7471765279769897), (90.0, 90.0, 90.0)",2.422658920288086
10,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.084844708442688, 2.084844708442688, 2.084844708442688), (90.0, 90.0, 90.0)",2.789245128631592
11,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (2.2888244092464447, 2.2888244092464447, 2.2888244092464447), (90.0, 90.0, 90.0)",2.5742406845092773
12,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (3.7618247270584106, 3.7618247270584106, 3.7618247270584106), (90.0, 90.0, 90.0)",2.9531140327453613
13,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (2.055368524044752, 2.055368524044752, 2.055368524044752), (90.0, 90.0, 90.0)",2.4377098083496094
14,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.510535717010498, 3.510535717010498, 3.510535717010498), (90.0, 90.0, 90.0)",0.5142658948898315
15,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.2725013196468353, 2.2725013196468353, 2.2725013196468353), (90.0, 90.0, 90.0)",3.367663621902466
16,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.3179500102996826, 2.3179500102996826, 2.3179500102996826), (90.0, 90.0, 90.0)",3.690099000930786
17,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.3519648611545563, 2.3519648611545563, 2.3519648611545563), (90.0, 90.0, 90.0)",3.698148727416992
18,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.449979692697525, 2.449979692697525, 2.449979692697525), (90.0, 90.0, 90.0)",2.3667869567871094
19,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.9618935585021973, 3.9618935585021973, 3.9618935585021973), (90.0, 90.0, 90.0)",0.4068625569343567
20,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.5158658623695374, 2.5158658623695374, 2.5158658623695374), (90.0, 90.0, 90.0)",1.5916712284088137
21,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt2; Stage 1; cubic; (2.1613386124372482, 2.1613386124372482, 2.1613386124372482), (90.0, 90.0, 90.0)",1.868390679359436
22,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.781686782836914, 3.781686782836914, 3.781686782836914), (90.0, 90.0, 90.0)",3.457475185394287
23,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pt4; Stage 1; cubic; (3.769467353820801, 3.769467353820801, 3.769467353820801), (90.0, 90.0, 90.0)",3.3357045650482178
24,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (2.193383827805519, 2.193383827805519, 2.193383827805519), (90.0, 90.0, 90.0)",1.7069075107574463
25,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (3.7546788454055786, 3.7546788454055786, 3.7546788454055786), (90.0, 90.0, 90.0)",2.516919612884521
26,"Stage 2; 229 | Im-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd2; Stage 1; cubic; (3.5421141386032104, 3.5421141386032104, 3.5421141386032104), (90.0, 90.0, 90.0)",2.2592978477478027
27,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Pd4; Stage 1; cubic; (3.8576494455337524, 3.8576494455337524, 3.8576494455337524), (90.0, 90.0, 90.0)",3.159935474395752
