,readable,energies
0,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Ca6; Stage 1; cubic; (2.0000000422431037, 2.0000000422431037, 2.0000000422431037), (90.0, 90.0, 90.0)",49.91447830200195
1,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Ca5; Stage 1; cubic; (3.607177612138912, 3.607177612138912, 3.607177612138912), (90.0, 90.0, 90.0)",7.089778423309326
2,"Stage 2; 225 | Fm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Co4; Stage 1; cubic; (2.1377600631967653, 2.1377600631967653, 2.1377600631967653), (90.0, 90.0, 90.0)",40.06842803955078
3,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Ca6; Stage 1; cubic; (2.000423525628662, 2.000423525628662, 2.000423525628662), (90.0, 90.0, 90.0)",49.882789611816406
4,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Cu5; Stage 1; cubic; (2.000263957997049, 2.000263957997049, 2.000263957997049), (90.0, 90.0, 90.0)",65.92582702636719
5,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Co3K3; Stage 1; cubic; (2.0353324788666214, 2.0353324788666214, 2.0353324788666214), (90.0, 90.0, 90.0)",57.92153549194336
6,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; H2Ca3; Stage 1; cubic; (2.1904865096439607, 2.1904865096439607, 2.1904865096439607), (90.0, 90.0, 90.0)",19.314611434936523
7,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Ca3Si3; Stage 1; cubic; (8.674611620604992, 8.674611620604992, 8.674611620604992), (90.0, 90.0, 90.0)",0.5202142000198364
8,"Stage 2; 2 | P-1 | triclinic (1) | centrosymmetric (2) | pinacoidal | -1; Al2Mg2; Stage 1; triclinic; (267.09940111637115, 629.2284108400345, 46.15583427995443), (104.7605037689209, 62.887223064899445, 75.20888328552246)",2.827834032359533e-05
9,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Al3V2; Stage 1; cubic; (2.0002663593666057, 2.0002663593666057, 2.0002663593666057), (90.0, 90.0, 90.0)",37.93478775024414
10,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; K3S2; Stage 1; cubic; (2.0013288447312334, 2.0013288447312334, 2.0013288447312334), (90.0, 90.0, 90.0)",37.58380126953125
11,"Stage 2; 221 | Pm-3m | cubic (8) | centrosymmetric (2) | hexoctahedral | m-3m; Al2Fe3; Stage 1; cubic; (2.2077270763984416, 2.2077270763984416, 2.2077270763984416), (90.0, 90.0, 90.0)",34.18165969848633
